Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,162.559998,165.279999,158.339996,158.690002,158.345886,16400500
2019-02-26,158.500000,160.759995,155.750000,157.100006,156.759338,12211600
2019-02-27,156.520004,157.589996,153.110001,155.410004,155.072998,12506400
2019-02-28,155.000000,155.899994,153.360001,154.259995,154.084122,8123600
2019-03-01,156.270004,158.149994,153.919998,156.449997,156.271622,8929700
2019-03-04,158.000000,158.919998,154.500000,156.779999,156.601257,10249800
2019-03-05,156.149994,158.059998,153.960007,156.520004,156.341553,9073100
2019-03-06,156.160004,156.500000,151.940002,152.050003,151.876648,10088100
2019-03-07,151.100006,151.490005,147.399994,149.259995,149.089813,11252600
2019-03-08,145.660004,151.070007,144.800003,150.639999,150.468246,10560400
2019-03-11,151.589996,162.059998,149.690002,161.139999,160.956284,21493200
2019-03-12,162.259995,164.389999,159.190002,162.520004,162.334717,14489400
2019-03-13,164.029999,169.800003,163.729996,168.619995,168.427750,19222500
2019-03-14,168.990005,169.470001,165.250000,165.559998,165.371246,12984600
2019-03-15,167.300003,171.529999,167.160004,169.809998,169.616394,16537100
2019-03-18,171.080002,173.250000,167.860001,168.949997,168.757370,12174800
2019-03-19,172.759995,177.500000,172.080002,175.710007,175.509674,21374300
2019-03-20,176.880005,179.029999,173.000000,174.399994,174.201157,17978700
2019-03-21,175.330002,185.000000,175.130005,183.940002,183.730286,20607800
2019-03-22,182.839996,184.800003,176.940002,177.500000,177.297623,18691100
2019-03-25,175.860001,178.449997,171.110001,173.779999,173.581863,13130300
2019-03-26,179.490005,181.750000,174.600006,176.869995,176.668335,17587700
2019-03-27,177.899994,179.770004,173.699997,176.500000,176.298767,11859300
2019-03-28,177.550003,179.899994,175.110001,177.250000,177.047913,12006600
2019-03-29,179.940002,180.539993,177.910004,179.559998,179.355286,11422400
2019-04-01,183.259995,183.500000,180.369995,182.279999,182.072174,12095600
2019-04-02,183.250000,184.789993,181.520004,183.000000,182.791351,11023000
2019-04-03,185.000000,191.000000,184.800003,188.619995,188.404953,19587600
2019-04-04,188.000000,189.970001,185.729996,188.259995,188.045349,11434400
2019-04-05,190.000000,191.649994,188.529999,190.949997,190.732285,12043600
2019-04-08,189.720001,192.800003,188.750000,191.789993,191.571335,10604800
2019-04-09,190.440002,190.889999,187.559998,189.259995,189.044220,10999300
2019-04-10,189.229996,193.139999,189.050003,192.100006,191.880997,11119300
2019-04-11,192.199997,193.470001,189.550003,191.539993,191.321609,9365000
2019-04-12,193.100006,193.259995,189.660004,190.009995,189.793365,11792700
